id,value
Users,
Users.Antarctica,
Users.Antarctica.Croatian,1
Users.Antarctica.Czech,1
Users.Antarctica.Dutch,1
Users.Antarctica.English,154
Users.Antarctica.Estonian,1
Users.Antarctica.French,1
Users.Antarctica.Indonesian,2
Users.Antarctica.Japanese,1
Users.Antarctica.Latin,1
Users.Antarctica.Spanish,10
Users.Argentina,
Users.Argentina.Arabic,3
Users.Argentina.Chinese,1
Users.Argentina.Dutch,1
Users.Argentina.English,1133
Users.Argentina.Esperanto,8
Users.Argentina.Filipino,1
Users.Argentina.French,8
Users.Argentina.German,1
Users.Argentina.Indonesian,1
Users.Argentina.Italian,4
Users.Argentina.Latin,56
Users.Argentina.Portuguese,11
Users.Argentina.Slovak,2
Users.Argentina.Spanish,7045
Users.Asia/Pacific Region,
Users.Asia/Pacific Region.English,262
Users.Asia/Pacific Region.French,2
Users.Asia/Pacific Region.Indonesian,164
Users.Australia,
Users.Australia.Afrikaans,2
Users.Australia.Albanian,2
Users.Australia.Arabic,1
Users.Australia.Chinese,9
Users.Australia.Croatian,2
Users.Australia.Czech,1
Users.Australia.Danish,1
Users.Australia.Dutch,4
Users.Australia.English,35953
Users.Australia.Esperanto,6
Users.Australia.Estonian,1
Users.Australia.Filipino,3
Users.Australia.French,48
Users.Australia.German,10
Users.Australia.Greek,1
Users.Australia.Hebrew,2
Users.Australia.Hindi,1
Users.Australia.Indonesian,113
Users.Australia.Italian,1
Users.Australia.Japanese,6
Users.Australia.Korean,2
Users.Australia.Latin,1
Users.Australia.Norwegian,2
Users.Australia.Polish,3
Users.Australia.Portuguese,4
Users.Australia.Russian,5
Users.Australia.Serbian,1
Users.Australia.Spanish,44
Users.Australia.Swedish,1
Users.Australia.Vietnamese,4
Users.Austria,
Users.Austria.Czech,1
Users.Austria.Devanagari,1
Users.Austria.English,1016
Users.Austria.French,15
Users.Austria.German,457
Users.Austria.Hungarian,1
Users.Austria.Indonesian,3
Users.Austria.Spanish,11
Users.Austria.Swedish,1
Users.Austria.Vietnamese,1
Users.Bahamas,
Users.Bahamas.Dutch,1
Users.Bahamas.English,186
Users.Bahamas.French,1
Users.Bahamas.Spanish,1
Users.Bangladesh,
Users.Bangladesh.Devanagari,1
Users.Bangladesh.English,219
Users.Bangladesh.Hindi,3
Users.Bangladesh.Spanish,1
Users.Belgium,
Users.Belgium.Chinese,1
Users.Belgium.Dutch,125
Users.Belgium.English,1865
Users.Belgium.French,1644
Users.Belgium.German,5
Users.Belgium.Hungarian,1
Users.Belgium.Indonesian,3
Users.Belgium.Polish,1
Users.Belgium.Portuguese,5
Users.Belgium.Spanish,15
Users.Belgium.Swedish,1
Users.Belgium.Thai,1
Users.Bolivia,
Users.Bolivia.English,30
Users.Bolivia.Latin,6
Users.Bolivia.Portuguese,2
Users.Bolivia.Spanish,220
Users.Brazil,
Users.Brazil.Albanian,1
Users.Brazil.Arabic,1
Users.Brazil.Croatian,1
Users.Brazil.Danish,1
Users.Brazil.Dutch,1
Users.Brazil.English,3141
Users.Brazil.Esperanto,3
Users.Brazil.Finnish,1
Users.Brazil.French,13
Users.Brazil.German,7
Users.Brazil.Greek,1
Users.Brazil.Hebrew,1
Users.Brazil.Hungarian,1
Users.Brazil.Italian,2
Users.Brazil.Japanese,7
Users.Brazil.Latin,5
Users.Brazil.Polish,2
Users.Brazil.Portuguese,10852
Users.Brazil.Russian,1
Users.Brazil.Spanish,583
Users.Brazil.Swedish,3
Users.Brazil.Thai,1
Users.Brunei Darussalam,
Users.Brunei Darussalam.English,219
Users.Brunei Darussalam.Indonesian,3
Users.Brunei Darussalam.Spanish,1
Users.Bulgaria,
Users.Bulgaria.Bulgarian,39
Users.Bulgaria.English,612
Users.Bulgaria.Esperanto,1
Users.Bulgaria.French,1
Users.Bulgaria.German,1
Users.Bulgaria.Indonesian,2
Users.Bulgaria.Spanish,2
Users.Canada,
Users.Canada.Afrikaans,3
Users.Canada.Albanian,4
Users.Canada.Arabic,6
Users.Canada.Bulgarian,5
Users.Canada.Catalan,4
